count, x, y, z
1, 0.8, 0.8, 0.2
2, 0, 0, 0
3, 0.825727, 0.765727, 0.198932
4, 0, 0, 0
5, 0.875081, 0.63842, 0.189188
6, 0, 0, 0
7, 0.876023, 0.476039, 0.169008
8, 0, 0, 0
9, 0.814232, 0.28017, 0.1368
10, 0, 0, 0
11, 0.659993, 0.0543236, 0.0892896
12, 0, 0, 0
13, 0.330795, -0.174818, 0.0194971
14, 0, 0, 0
15, -0.257781, 0.0533957, -0.0255482
16, 0, 0, 0
17, -0.240307, 0.528147, 0.03598
18, 0, 0, 0
19, -0.0975522, 0.794788, 0.0871545
20, 0, 0, 0
21, 0.0621429, 0.947047, 0.126149
22, 0, 0, 0
23, 0.217358, 1.01946, 0.154602
24, 0, 0, 0
25, 0.359194, 1.02781, 0.173376
26, 0, 0, 0
27, 0.481462, 0.979946, 0.182676
28, 0, 0, 0
29, 0.577684, 0.879179, 0.182108
30, 0, 0, 0
31, 0.638884, 0.725509, 0.170549
32, 0, 0, 0
33, 0.649786, 0.515643, 0.145679
34, 0, 0, 0
35, 0.577863, 0.242734, 0.102574
36, 0, 0, 0
37, 0.320751, -0.0914686, 0.0286603
38, 0, 0, 0
39, -0.312253, -0.00120568, -0.0391823
40, 0, 0, 0
41, -0.448882, 0.410053, -0.00485365
42, 0, 0, 0
43, -0.414343, 0.68979, 0.0344309
44, 0, 0, 0
45, -0.318302, 0.871838, 0.069192
46, 0, 0, 0
47, -0.192503, 0.97433, 0.0977284
48, 0, 0, 0
49, -0.05229, 1.0049, 0.119076
50, 0, 0, 0
51, 0.091564, 0.964637, 0.132025
52, 0, 0, 0
53, 0.227888, 0.848599, 0.134561
54, 0, 0, 0
55, 0.339144, 0.643362, 0.122813
56, 0, 0, 0
57, 0.382032, 0.318557, 0.0875735
58, 0, 0, 0
59, 0.133341, -0.160529, -0.00339844
60, 0, 0, 0
61, -0.468564, 0.00167803, -0.0583607
62, 0, 0, 0
63, -0.690894, 0.295741, -0.049394
64, 0, 0, 0
65, -0.786265, 0.541448, -0.0306021
66, 0, 0, 0
67, -0.81381, 0.741767, -0.00900542
68, 0, 0, 0
69, -0.796208, 0.901433, 0.0131531
70, 0, 0, 0
71, -0.74493, 1.02321, 0.0347847
72, 0, 0, 0
73, -0.666733, 1.10812, 0.0551735
74, 0, 0, 0
75, -0.566038, 1.15567, 0.0737041
76, 0, 0, 0
77, -0.446033, 1.16373, 0.0897119
78, 0, 0, 0
79, -0.309369, 1.12807, 0.102338
80, 0, 0, 0
81, -0.158872, 1.0412, 0.110291
82, 0, 0, 0
83, 0.00100197, 0.889514, 0.111315
84, 0, 0, 0
85, 0.159066, 0.645232, 0.100537
86, 0, 0, 0
87, 0.263936, 0.235169, 0.0623881
88, 0, 0, 0
89, -0.15595, -0.239867, -0.049477
90, 0, 0, 0
91, -0.578196, -0.0810136, -0.0824011
92, 0, 0, 0
93, -0.777698, 0.132205, -0.0806865
94, 0, 0, 0
95, -0.85969, 0.328213, -0.0664346
96, 0, 0, 0
97, -0.860625, 0.494056, -0.0458211
98, 0, 0, 0
99, -0.797001, 0.623093, -0.0217385
100, 0, 0, 0
101, -0.676986, 0.708003, 0.00387719
102, 0, 0, 0
103, -0.504275, 0.73735, 0.0291344
104, 0, 0, 0
105, -0.280111, 0.689686, 0.0511969
106, 0, 0, 0
107, -0.00881731, 0.514611, 0.0632242
108, 0, 0, 0
109, 0.211386, 0.0326235, 0.0305011
110, 0, 0, 0
111, -0.266266, -0.356996, -0.0779076
112, 0, 0, 0
113, -0.630205, -0.332071, -0.120284
114, 0, 0, 0
115, -0.868282, -0.233461, -0.137718
116, 0, 0, 0
117, -1.02083, -0.110543, -0.141422
118, 0, 0, 0
119, -1.10593, 0.020096, -0.135729
120, 0, 0, 0
121, -1.13244, 0.149827, -0.122826
122, 0, 0, 0
123, -1.10425, 0.272356, -0.103987
124, 0, 0, 0
125, -1.02179, 0.381428, -0.0800451
126, 0, 0, 0
127, -0.882056, 0.46889, -0.0516457
128, 0, 0, 0
129, -0.677538, 0.521259, -0.0195349
130, 0, 0, 0
131, -0.392977, 0.509553, 0.014572
132, 0, 0, 0
133, -0.00263108, 0.3374, 0.0418461
134, 0, 0, 0
135, 0.0871217, -0.296262, -0.0261425
136, 0, 0, 0
137, -0.277593, -0.52619, -0.100473
138, 0, 0, 0
139, -0.558806, -0.556175, -0.139373
140, 0, 0, 0
141, -0.760207, -0.503163, -0.157921
142, 0, 0, 0
143, -0.891182, -0.402708, -0.161736
144, 0, 0, 0
145, -0.955072, -0.271718, -0.153349
146, 0, 0, 0
147, -0.949884, -0.121135, -0.133877
148, 0, 0, 0
149, -0.867377, 0.0389316, -0.103556
150, 0, 0, 0
151, -0.688696, 0.193473, -0.0619028
152, 0, 0, 0
153, -0.36952, 0.302725, -0.00834934
154, 0, 0, 0
155, 0.171876, 0.104992, 0.0346084
156, 0, 0, 0
157, 0.060789, -0.468037, -0.0509059
158, 0, 0, 0
159, -0.203715, -0.685661, -0.111172
160, 0, 0, 0
161, -0.432591, -0.763299, -0.149486
162, 0, 0, 0
163, -0.616966, -0.759963, -0.172116
164, 0, 0, 0
165, -0.755424, -0.699448, -0.181859
166, 0, 0, 0
167, -0.845477, -0.59397, -0.179931
168, 0, 0, 0
169, -0.881759, -0.450812, -0.166571
170, 0, 0, 0
171, -0.853892, -0.275233, -0.14114
172, 0, 0, 0
173, -0.741254, -0.0733946, -0.101831
174, 0, 0, 0
175, -0.495621, 0.137237, -0.044798
176, 0, 0, 0
177, 0.0363059, 0.205802, 0.0302635
178, 0, 0, 0
179, 0.282058, -0.375161, -0.0116379
180, 0, 0, 0
181, 0.182235, -0.729502, -0.0684084
182, 0, 0, 0
183, 0.044246, -0.954064, -0.113727
184, 0, 0, 0
185, -0.098538, -1.09874, -0.14966
186, 0, 0, 0
187, -0.236425, -1.1847, -0.177641
188, 0, 0, 0
189, -0.364941, -1.22289, -0.198479
190, 0, 0, 0
191, -0.481125, -1.21951, -0.21258
192, 0, 0, 0
193, -0.58231, -1.17805, -0.220045
194, 0, 0, 0
195, -0.665482, -1.10018, -0.220707
196, 0, 0, 0
197, -0.726674, -0.986073, -0.214093
198, 0, 0, 0
199, -0.760061, -0.834456, -0.199315
200, 0, 0, 0
201, -0.756097, -0.642263, -0.174795
202, 0, 0, 0
203, -0.696721, -0.404039, -0.137595
204, 0, 0, 0
205, -0.53838, -0.112268, -0.081331
206, 0, 0, 0
207, -0.104078, 0.190605, 0.010816
208, 0, 0, 0
209, 0.431581, -0.176753, 0.0318535
210, 0, 0, 0
211, 0.545627, -0.542188, 0.000429878
212, 0, 0, 0
213, 0.562658, -0.818933, -0.0320344
214, 0, 0, 0
215, 0.536075, -1.034, -0.0622409
216, 0, 0, 0
217, 0.484265, -1.20115, -0.0896109
218, 0, 0, 0
219, 0.416071, -1.32806, -0.113999
220, 0, 0, 0
221, 0.336618, -1.41928, -0.135333
222, 0, 0, 0
223, 0.249298, -1.4775, -0.153525
224, 0, 0, 0
225, 0.156629, -1.50412, -0.168436
226, 0, 0, 0
227, 0.060711, -1.49955, -0.179855
228, 0, 0, 0
229, -0.0364782, -1.46325, -0.187466
230, 0, 0, 0
231, -0.132804, -1.39366, -0.190808
232, 0, 0, 0
233, -0.225619, -1.28792, -0.189192
234, 0, 0, 0
235, -0.311131, -1.14123, -0.181545
236, 0, 0, 0
237, -0.382996, -0.945571, -0.166071
238, 0, 0, 0
239, -0.42832, -0.686507, -0.139353
240, 0, 0, 0
241, -0.41125, -0.334284, -0.0931916
242, 0, 0, 0
243, -0.123878, 0.155907, 0.00400368
244, 0, 0, 0
245, 0.527835, 0.000796355, 0.0660789
246, 0, 0, 0
247, 0.849342, -0.263388, 0.0732442
248, 0, 0, 0
249, 1.07636, -0.501714, 0.0718305
250, 0, 0, 0
251, 1.25518, -0.718221, 0.0671194
252, 0, 0, 0
253, 1.40328, -0.91737, 0.0607392
254, 0, 0, 0
255, 1.52948, -1.10229, 0.0533988
256, 0, 0, 0
257, 1.63893, -1.27519, 0.0454676
258, 0, 0, 0
259, 1.73497, -1.43768, 0.037161
260, 0, 0, 0
261, 1.81992, -1.591, 0.0286144
262, 0, 0, 0
263, 1.89544, -1.7361, 0.0199182
264, 0, 0, 0
265, 1.96281, -1.87373, 0.0111352
