count,x,y,z,time
544,0.8,0.8,0.2,1
7,0,0,0,2
399,0.825772,0.765727,0.198932,3
748,0,0,0,4
129,0.847115,0.727307,0.196786,5
492,0,0,0,6
484,0.863794,0.684844,0.193547,7
638,0,0,0,8
801,0.875527,0.638425,0.189189,9
639,0,0,0,10
199,0.881975,0.58812,0.18368,11
644,0,0,0,12
166,0.882731,0.533989,0.176976,13
263,0,0,0,14
206,0.877296,0.476087,0.169022,15
762,0,0,0,16
159,0.865058,0.414468,0.159749,17
716,0,0,0,18
476,0.845243,0.349199,0.149068,19
186,0,0,0,20
186,0.816868,0.280374,0.13687,21
965,0,0,0,22
933,0.77864,0.208153,0.123014,23
69,0,0,0,24
92,0.72882,0.13282,0.107319,25
719,0,0,0,26
466,0.664969,0.0549228,0.0895516,27
563,0,0,0,28
207,0.58351,-0.0244326,0.0694069,29
353,0,0,0,30
847,0.478862,-0.102815,0.0464987,31
898,0,0,0,32
967,0.341684,-0.174204,0.0204275,33
839,0,0,0,34
563,0.155701,-0.220687,-0.00856411,35
215,0,0,0,36
379,-0.0941556,-0.176574,-0.0340401,37
933,0,0,0,38
733,-0.252779,0.0385503,-0.0265483,39
701,0,0,0,40
698,-0.290842,0.235296,-0.00639927,41
873,0,0,0,42
242,-0.283885,0.395655,0.0147393,43
988,0,0,0,44
493,-0.256998,0.528299,0.0348454,45
315,0,0,0,46
102,-0.219855,0.639951,0.0535669,47
561,0,0,0,48
864,-0.176973,0.735028,0.070901,49
53,0,0,0,50
980,-0.130773,0.816508,0.0869235,51
401,0,0,0,52
480,-0.0826862,0.886481,0.101721,53
392,0,0,0,54
99,-0.0336241,0.946477,0.115374,55
449,0,0,0,56
334,0.015796,0.997645,0.12795,57
486,0,0,0,58
571,0.0651347,1.04087,0.139509,59
267,0,0,0,60
450,0.114065,1.07687,0.150097,61
601,0,0,0,62
5,0.162332,1.10618,0.159755,63
806,0,0,0,64
519,0.209731,1.12928,0.168515,65
891,0,0,0,66
90,0.256088,1.14653,0.176402,67
606,0,0,0,68
291,0.301252,1.15824,0.183437,69
229,0,0,0,70
785,0.345086,1.16466,0.189634,71
847,0,0,0,72
467,0.38746,1.16601,0.195006,73
725,0,0,0,74
278,0.428248,1.16245,0.199556,75
8,0,0,0,76
548,0.467325,1.15413,0.203289,77
237,0,0,0,78
213,0.504562,1.14115,0.206202,79
96,0,0,0,80
729,0.539821,1.1236,0.208288,81
857,0,0,0,82
940,0.57296,1.10154,0.20954,83
242,0,0,0,84
576,0.603818,1.07502,0.209941,85
223,0,0,0,86
238,0.63222,1.04404,0.209472,87
711,0,0,0,88
98,0.657971,1.00861,0.208111,89
625,0,0,0,90
978,0.680846,0.968706,0.205826,91
572,0,0,0,92
288,0.700588,0.92428,0.20258,93
887,0,0,0,94
283,0.716897,0.875266,0.198329,95
797,0,0,0,96
986,0.729419,0.821575,0.193018,97
875,0,0,0,98
327,0.737728,0.763089,0.186581,99
26,0,0,0,100
574,0.741307,0.699664,0.178936,101
88,0,0,0,102
487,0.739513,0.631126,0.169983,103
516,0,0,0,104
165,0.731534,0.557272,0.159598,105
910,0,0,0,106
512,0.716311,0.477865,0.147624,107
915,0,0,0,108
518,0.692431,0.392654,0.133856,109
49,0,0,0,110
992,0.657931,0.301396,0.118027,111
258,0,0,0,112
180,0.609958,0.203945,0.0997721,113
348,0,0,0,114
